className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
AnnexOneReduce,Australia,AUS,7682300,468503,360000000000.0,0.0555,369446401,346913000,287331000
AnnexOneReduce,Austria,AUT,82445,13677,191000000000.0,0.0341,80287777,63549000,60960000
AnnexOneReduce,Belgium,BEL,30278,8302,228000000000.0,0.017,156848781,119185000,108470000
AnnexOneReduce,Croatia,HRV,55974,14566,21072021153.0,0.0278,23604756,20418000,16443000
AnnexOneReduce,Denmark,DNK,42434,22295,148000000000.0,0.0181,62585625,56068000,50421000
AnnexOneReduce,Finland,FIN,303815,19913,112000000000.0,0.0462,102738090,56989000,50942000
AnnexOneReduce,France,FRA,640427,182711,1310000000000.0,0.0297,703718793,409094000,399028000
AnnexOneReduce,Germany,DEU,348672,115698,1980000000000.0,0.0206,1031203645,895533000,928327000
AnnexOneReduce,Greece,GRC,130647,26749,123000000000.0,0.0381,92858358,87810000,72724000
AnnexOneReduce,Hungary,HUN,89608,45782,42041981950.0,0.0491,74645363,60854000,62992000
AnnexOneReduce,Iceland,ISL,100250,70,6978804827.0,0.0692,6374764,2101000,2072000
AnnexOneReduce,Ireland,IRL,68883,11587,80430419314.0,0.0749,45070638,38140000,30418000
AnnexOneReduce,Italy,ITA,294140,77651,1090000000000.0,0.0122,472774575,441752000,424184000
AnnexOneReduce,Japan,JPN,364485,43620,4010000000000.0,-0.017,1371922914,1159186000,1094706000
AnnexOneReduce,Netherlands,NLD,33893,7441,360000000000.0,0.0361,186368204,175360000,164128000
AnnexOneReduce,New Zealand,NZL,262443,14848,53201147777.0,0.0039,595073552,30058000,24023000
AnnexOneReduce,Norway,NOR,304282,8312,130000000000.0,0.0269,179167683,34594000,31331000
AnnexOneReduce,Portugal,PRT,91470,15898,107000000000.0,0.0417,59357939,58056000,43725000
AnnexOneReduce,Slovenia,SVN,20151,1719,18806068172.0,0.0323,19016516,15522000,12970000
AnnexOneReduce,Spain,ESP,498980,135776,548000000000.0,0.0426,354892484,274684000,227592000
AnnexOneReduce,Sweden,SWE,410335,24368,223000000000.0,0.0377,147350016,54954000,51708000
AnnexOneReduce,Switzerland,CHE,39997,3941,260000000000.0,0.0258,71553977,41914000,42966000
AnnexOneReduce,Turkey,TUR,769632,229764,261000000000.0,0.0345,251083420,205422000,150791000
AnnexOneReduce,United Kingdom,GBR,241930,56121,1300000000000.0,0.0385,611278440,554139000,570219000
AnnexOneSustain,Belarus,BLR,202900,55575,13459157442.0,0.0684,60231120,57598000,87487000
